"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Andesanthus","elegantula","Andesanthus","elegantulus",2
"Andesanthus","elegantulus","Andesanthus","elegantula",2
"Andesanthus","gleasoniana","Andesanthus","gleasonianus",2
"Andesanthus","gleasonianus","Andesanthus","gleasoniana",2
"Andesanthus","inopinata","Andesanthus","inopinatus",2
"Andesanthus","inopinatus","Andesanthus","inopinata",2
"Andesanthus","lepidota","Andesanthus","lepidotum",2
"Andesanthus","lepidota","Andesanthus","lepidotus",2
"Andesanthus","lepidotum","Andesanthus","lepidota",2
"Andesanthus","lepidotum","Andesanthus","lepidotus",1
"Andesanthus","lepidotus","Andesanthus","lepidota",2
"Andesanthus","lepidotus","Andesanthus","lepidotum",1
"Andesanthus","paleacea","Andesanthus","paleaceus",2
"Andesanthus","paleaceus","Andesanthus","paleacea",2
