Non-Urban Exclusion,NFS Region Exclusion,Mainland Exclusion ,Woodland,FIA Code,Common Name,Genus,Species,VARIETY,SUBSPECIES,PLANTS Code,Past NRS Tally,Past PNW Tally,Past RMRS Tally,Past SRS Tally,Caribbean,Pacific,Urban,Historic  P2
.,.,.,.,11,Pacific silver fir,Abies,amabilis,.,.,ABAM,"R, U","PNWS, AK, U","R, U",U,.,.,.,P2
.,.,.,.,12,balsam fir,Abies,balsamea,.,.,ABBA,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,14,Santa Lucia or bristlecone fir,Abies,bracteata,.,.,ABBR,"R, U","PNWS, U","R, U",U,.,.,.,P2
.,.,.,.,15,white fir,Abies,concolor,.,.,ABCO,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,16,Fraser fir,Abies,fraseri,.,.,ABFR,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,17,grand fir,Abies,grandis,.,.,ABGR,"R, U","PNWS, U","R, U",U,.,.,.,P2
.,.,.,.,18,corkbark fir,Abies,lasiocarpa,arizonica,.,ABLAA,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,19,subalpine fir,Abies,lasiocarpa,.,.,ABLA,"R, U","PNWS, AK, U","R, U","R, U",.,.,.,P2
.,.,.,.,20,California red fir,Abies,magnifica,.,.,ABMA,"R, U","PNWS, U","R, U",U,.,.,.,P2
.,.,.,.,22,noble fir,Abies,procera,.,.,ABPR,"R, U","PNWS, U","R, U",U,.,.,.,P2
.,.,.,.,21,Shasta red fir,Abies,shastensis,.,.,ABSH,"R, U","PNWS, U","R, U",U,.,.,.,P2
.,.,.,.,6001,blackbrush wattle,Acacia,anegadensis,.,.,ACAN4,U,U,U,"C, U",C,.,.,.
.,.,.,.,6002,mulga,Acacia,aneura,.,.,ACAN10,U,"P, U",U,U,.,P,.,.
.,.,.,.,6003,auri,Acacia,auriculiformis,.,.,ACAU,U,"P, U",U,U,.,P,.,.
.,.,.,.,6004,small Philippine acacia,Acacia,confusa,.,.,ACCO,U,"P, U",U,U,.,P,.,.
.,.,.,.,6016,silver wattle,Acacia,dealbata,.,.,ACDE3,U,U,U,U,.,.,U,.
.,.,.,.,6017,green wattle,Acacia,decurrens,.,.,ACDE,U,U,U,U,.,.,U,.
.,3,.,w,303,sweet acacia,Acacia,farnesiana,.,.,ACFA,"R, U","P, U",U,"R, C, U",C,P,.,P2
.,.,.,.,6006,koa,Acacia,koa,.,.,ACKO,U,"P, U",U,U,.,P,.,.
.,.,.,.,6007,koaoha,Acacia,koaia,.,.,ACKO2,U,"P, U",U,U,.,P,.,.
.,.,.,.,6019,Sydney golden wattle,Acacia,longifolia,.,.,ACLO,U,U,U,U,.,.,U,.
.,.,.,.,6008,porknut,Acacia,macracantha,.,.,ACMA,U,U,U,"C, U",C,.,.,.
.,.,.,.,6009,black wattle,Acacia,mangium,.,.,ACMA12,U,"P, U",U,"C, U",C,P,.,.
.,.,.,.,6010,black wattle,Acacia,mearnsii,.,.,ACME80,U,"P, U",U,U,.,P,.,.
.,.,.,.,6011,blackwood,Acacia,melanoxylon,.,.,ACME,U,"P, U",U,U,.,P,.,.
.,.,.,.,6012,spineless wattle,Acacia,muricata,.,.,ACMU,U,U,U,"C, U",C,.,.,.
.,.,.,.,6013,gum arabic tree,Acacia,nilotica,.,.,ACNI2,U,U,U,"C, U",C,.,.,.
.,.,.,.,6014,South Wales wattle,Acacia,parramattensis,.,.,ACPA81,U,"P, U",U,U,.,P,.,.
.,.,.,.,6015,Acacia polyacantha,Acacia,polyacantha,.,.,ACPO3,U,U,U,"C, U",C,.,.,.
NUE,,.,,300,acacia spp.,Acacia,spp.,.,.,ACACI,"R, U","P, U",U,"C, U",C,P,.,P2
.,.,.,.,6018,poponax,Acacia,tortuosa,.,.,ACTO,U,U,U,"C, U",C,.,.,.
.,.,.,.,6020,prickly Moses,Acacia,verticillata,.,.,ACVE2,U,U,U,U,.,.,U,.
.,.,.,.,311,Florida maple,Acer,barbatum,.,.,ACBA3,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,5145,hedge maple,Acer,campestre,.,.,ACCA5,U,U,U,U,.,.,U,.
.,"5, 6, 10",.,.,5146,vine maple,Acer,circinatum,,,ACCI,U,U,U,U,,,U,.
.,.,.,.,5147,Amur maple,Acer,ginnala,.,.,ACGI,U,U,U,U,.,.,U,.
.,.,.,w,322,bigtooth maple,Acer,grandidentatum,.,.,ACGR3,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,5148,paperbark maple,Acer,griseum,.,.,ACGR14,U,U,U,U,.,.,U,.
.,.,.,.,323,chalk maple,Acer,leucoderme,.,.,ACLE,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,312,bigleaf maple,Acer,macrophyllum,.,.,ACMA3,"R, U","PNWS, U","R, U",U,.,.,.,P2
.,.,.,.,5155,Miyabe maple,Acer,miyabei,.,.,ACMI7,U,U,U,U,.,.,U,.
.,.,.,.,5149,Painted maple,Acer,mono,.,.,ACMO10,U,U,U,U,.,.,U,.
.,.,.,.,313,boxelder,Acer,negundo,.,.,ACNE2,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,314,black maple,Acer,nigrum,.,.,ACNI5,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,5150,Japanese maple,Acer,palmatum,.,.,ACPA2,U,U,U,U,.,.,U,.
.,.,.,.,315,striped maple,Acer,pensylvanicum,.,.,ACPE,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,320,Norway maple,Acer,platanoides,.,.,ACPL,"R, U","PNWS, U",U,"R, U",.,.,.,P2
.,.,.,.,5157,Norway maple x shantung maple,Acer,platanoides x truncatum,.,.,ACPL2,U,U,U,U,.,.,U,.
.,.,.,.,5151,sycamore maple,Acer,pseudoplatanus,.,.,ACPS,U,U,U,U,.,.,U,.
.,.,.,.,316,red maple,Acer,rubrum,.,.,ACRU,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,317,silver maple,Acer,saccharinum,.,.,ACSA2,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,318,sugar maple,Acer,saccharum,.,.,ACSA3,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,319,mountain maple,Acer,spicatum,.,.,ACSP2,"R, U","PNWS, U",U,"R, U",.,.,.,P2
.,.,.,.,5152,tatarian maple,Acer,tataricum,.,.,ACTA80,U,U,U,U,.,.,U,.
.,.,.,.,5156,Three Flower Maple,Acer,triflorum,.,.,ACTR7,U,U,U,U,.,.,U,.
.,.,.,.,5154,Freeman maple,Acer,x freemanii,.,.,ACFR,U,U,U,U,.,.,U,.
.,.,.,.,6021,hollowheart,Acnistus,arborescens,.,.,ACAR,U,U,U,"C, U",C,.,.,.
.,.,.,.,906,"Everglades palm, paurotis-palm",Acoelorraphe,wrightii,.,.,ACWR4,"R, U",U,U,"R, U",.,.,.,P2
.,.,.,.,6023,grugru palm,Acrocomia,media,.,.,ACME2,U,U,U,"C, U",C,.,.,.
.,.,.,.,6025,baobab,Adansonia,digitata,.,.,ADDI3,U,U,U,"C, U",C,.,.,.
.,.,.,.,6026,wild lime,Adelia,ricinella,.,.,ADRI,U,U,U,"C, U",C,.,.,.
.,.,.,.,6028,red beadtree,Adenanthera,pavonina,.,.,ADPA,U,"P, U",U,"C, U",C,P,.,.
.,.,.,.,6032,Caribbean spiritweed,Aegiphila,martinicensis,.,.,AEMA,U,U,U,"C, U",C,.,.,.
.,.,.,.,333,California buckeye,Aesculus,californica,.,.,AECA,"R, U","PNWS, U",U,U,.,.,.,P2
.,.,.,.,332,yellow buckeye,Aesculus,flava,.,.,AEFL,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,331,Ohio buckeye,Aesculus,glabra,.,.,AEGL,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,334,Texas buckeye,Aesculus,glabra,arguta,.,AEGLA,"R, U","PNWS, U",U,"R, U",.,.,.,P2
.,.,.,.,5163,horse chestnut,Aesculus,hippocastanum,.,.,AEHI,U,U,U,U,.,.,U,.
.,.,.,.,6034,yellowwood,Afrocarpus,falcatus,.,.,AFFA,U,U,U,U,.,.,U,.
.,.,.,.,6035,East African yellowwood,Afrocarpus,gracilior,.,.,AFGR,U,U,U,U,.,.,U,.
.,.,.,.,6036,kauri,Agathis,australis,.,.,AGAU4,U,U,U,"C, U",C,.,.,.
.,.,.,.,6037,Queensland kauri,Agathis,robusta,.,.,AGRO6,U,U,U,"C, U",C,.,.,.
.,.,.,.,6042,Titimel,Aglaia,mariannensis,.,.,AGMA14,U,"P, U",U,U,.,P,.,.
.,.,.,.,6044,"karasyu, marasau",Aglaia,ponapensis,.,.,AGPO4,U,"P, U",U,U,.,P,.,.
.,.,.,.,6046,laga ali,Aglaia,samoensis,.,.,AGSA9,U,"P, U",U,U,.,P,.,.
.,.,.,.,6048,Olomea,Aidia,cochinchinensis,.,.,AICO2,U,"P, U",U,U,.,P,.,.
.,.,.,.,6049,Aidia racemosa,Aidia,racemosa,.,.,AIRA2,U,"P, U",U,U,.,P,.,.
.,.,.,.,341,ailanthus,Ailanthus,altissima,.,.,AIAL,"R, U","PNWS, P, U","R, U","R, U",.,P,.,P2
.,.,.,.,6053,Aiphanes minima,Aiphanes,minima,.,.,AIMI,U,U,U,"C, U",C,.,.,.
.,.,.,.,6055,cream albizia,Albizia,adinocephala,.,.,ALAD,U,U,U,"C, U",C,.,.,.
.,.,.,.,6056,naked albizia,Albizia,carbonaria,.,.,ALCA8,U,U,U,"C, U",C,.,.,.
.,.,.,.,6057,Chinese albizia,Albizia,chinensis,.,.,ALCH2,U,"P, U",U,U,.,P,.,.
.,.,.,.,345,"mimosa, silktree",Albizia,julibrissin,.,.,ALJU,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,6059,woman's tongue,Albizia,lebbeck,.,.,ALLE,U,"P, U",U,"C, U",C,P,.,.
.,.,.,.,6060,tall albizia,Albizia,procera,.,.,ALPR,U,U,U,"C, U",C,.,.,.
.,.,.,.,6061,ukall ra ngebard,Albizia,retusa,.,.,ALRE,U,"P, U",U,U,.,P,.,.
.,.,.,.,6062,whiteflower albizia,Albizia,saponaria,.,.,ALSA10,U,"P, U",U,U,.,P,.,.
.,.,.,.,6064,achiotillo,Alchornea,latifolia,.,.,ALLA,U,U,U,"C, U",C,.,.,.
.,.,.,.,6066,palo de gallina,Alchorneopsis,floribunda,.,.,ALFL3,U,U,U,"C, U",C,.,.,.
.,.,.,.,6069,Hawaii alectryon,Alectryon,macrococcus,.,.,ALMA,U,"P, U",U,U,.,P,.,.
.,.,.,.,6075,Indian walnut,Aleurites,moluccana,.,.,ALMO2,U,"P, U",U,"C, U",C,P,.,.
.,.,.,.,6078,lumbang,Aleurites,trisperma,.,.,ALTR11,U,"P, U",U,U,.,P,.,.
.,.,.,.,6080,palo blanco,Allophylus,crassinervis,.,.,ALCR9,U,U,U,"C, U",C,.,.,.
.,.,.,.,6082,palo de caja,Allophylus,racemosus,.,.,ALRA,U,U,U,"C, U",C,.,.,.
.,.,.,.,6084,chebeludes,Allophylus,ternatus,.,.,ALTE13,U,"P, U",U,U,.,P,.,.
.,.,.,.,6085,"ebeludes, chebeludes",Allophylus,timorensis,.,.,ALTI2,U,"P, U",U,U,.,P,.,.
.,.,.,.,5189,Italian alder,Alnus,cordata,.,.,ALCO13,U,U,U,U,.,.,U,.
.,.,.,.,355,European alder,Alnus,glutinosa,.,.,ALGL2,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,6086,Nepal alder,Alnus,nepalensis,.,.,ALNE2,U,"P, U",U,U,.,P,U,.
.,.,.,.,353,Arizona alder,Alnus,oblongifolia,.,.,ALOB2,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,352,white alder,Alnus,rhombifolia,.,.,ALRH2,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,351,red alder,Alnus,rubra,.,.,ALRU2,"R, U","PNWS, AK, U","R, U",U,.,.,.,P2
NUE,.,.,.,5192,green alder,Alnus,viridis,.,.,ALVI5,U,U,.,U,.,.,U,.
.,.,.,.,6088,"chelebiob, elebiong",Alphitonia,carolinensis,.,.,ALCA21,U,"P, U",U,U,.,P,.,.
.,.,.,.,6089,Hawaii kauilatree,Alphitonia,ponderosa,.,.,ALPO3,U,"P, U",U,U,.,P,.,.
.,.,.,.,6091,toi,Alphitonia,zizyphoides,.,.,ALZI,U,"P, U",U,U,.,P,.,.
.,.,.,.,6092,helecho gigante de la sierra,Alsophila,bryophila,.,.,ALBR4,U,U,U,"C, U",C,.,.,.
