IUCN_Family,Genus,Species
SAPINDACEAE,Acer,acuminatum
SAPINDACEAE,Acer,acutum
SAPINDACEAE,Acer,albopurpurascens
SAPINDACEAE,Acer,amamiense
SAPINDACEAE,Acer,amplum
SAPINDACEAE,Acer,argutum
SAPINDACEAE,Acer,barbinerve
SAPINDACEAE,Acer,binzayedii
SAPINDACEAE,Acer,buergerianum
SAPINDACEAE,Acer,caesium
SAPINDACEAE,Acer,calcaratum
SAPINDACEAE,Acer,campbellii
SAPINDACEAE,Acer,capillipes
SAPINDACEAE,Acer,cappadocicum
SAPINDACEAE,Acer,carpinifolium
SAPINDACEAE,Acer,caudatum
SAPINDACEAE,Acer,chiangdaoense
SAPINDACEAE,Acer,chienii
SAPINDACEAE,Acer,chingii
SAPINDACEAE,Acer,chunii
SAPINDACEAE,Acer,cissifolium
SAPINDACEAE,Acer,confertifolium
SAPINDACEAE,Acer,cordatum
SAPINDACEAE,Acer,coriaceifolium
SAPINDACEAE,Acer,crassum
SAPINDACEAE,Acer,crataegifolium
SAPINDACEAE,Acer,davidii
SAPINDACEAE,Acer,diabolicum
SAPINDACEAE,Acer,distylum
SAPINDACEAE,Acer,duplicatoserratum
SAPINDACEAE,Acer,elegantulum
SAPINDACEAE,Acer,erianthum
SAPINDACEAE,Acer,erythranthum
SAPINDACEAE,Acer,fabri
SAPINDACEAE,Acer,fenzelianum
SAPINDACEAE,Acer,flabellatum
SAPINDACEAE,Acer,floridanum
SAPINDACEAE,Acer,forrestii
SAPINDACEAE,Acer,fulvescens
SAPINDACEAE,Acer,gracilifolium
SAPINDACEAE,Acer,granatense
SAPINDACEAE,Acer,griseum
SAPINDACEAE,Acer,henryi
SAPINDACEAE,Acer,heptaphlebium
SAPINDACEAE,Acer,hilaense
SAPINDACEAE,Acer,hookeri
SAPINDACEAE,Acer,hyrcanum
SAPINDACEAE,Acer,iranicum
SAPINDACEAE,Acer,japonicum
SAPINDACEAE,Acer,kawakamii
SAPINDACEAE,Acer,komarovii
SAPINDACEAE,Acer,kungshanense
SAPINDACEAE,Acer,kuomeii
SAPINDACEAE,Acer,kwangnanense
SAPINDACEAE,Acer,kweilinense
SAPINDACEAE,Acer,laevigatum
SAPINDACEAE,Acer,laurinum
SAPINDACEAE,Acer,laxiflorum
SAPINDACEAE,Acer,leipoense
SAPINDACEAE,Acer,longipes
SAPINDACEAE,Acer,lucidum
SAPINDACEAE,Acer,lungshengense
SAPINDACEAE,Acer,mandshuricum
SAPINDACEAE,Acer,maximowiczianum
SAPINDACEAE,Acer,maximowiczii
SAPINDACEAE,Acer,mazandaranicum
SAPINDACEAE,Acer,metcalfii
SAPINDACEAE,Acer,miaotaiense
SAPINDACEAE,Acer,micranthum
SAPINDACEAE,Acer,miyabei
SAPINDACEAE,Acer,morifolium
SAPINDACEAE,Acer,nipponicum
SAPINDACEAE,Acer,obtusifolium
SAPINDACEAE,Acer,okamotoanum
SAPINDACEAE,Acer,oligocarpum
SAPINDACEAE,Acer,oliverianum
SAPINDACEAE,Acer,osmastonii
SAPINDACEAE,Acer,paihengii
SAPINDACEAE,Acer,pauciflorum
SAPINDACEAE,Acer,paxii
SAPINDACEAE,Acer,pectinatum
SAPINDACEAE,Acer,pentaphyllum
SAPINDACEAE,Acer,pentapomicum
SAPINDACEAE,Acer,pilosum
SAPINDACEAE,Acer,poliophyllum
